Company,Rating,Reviews
Tata Consumer Products,3.5,1.5k
GE VERNOVA,4.1,1.5k
Piramal Pharma,4.0,1.5k
Max Fashion,4.0,1.5k
Ashoka Buildcon,4.1,1.5k
SAI Life Sciences,3.9,1.5k
Page Industries,4.1,1.5k
QualityKiosk Technologies,3.2,1.5k
Honeywell Technology Solutions,3.7,1.5k
Tanishq,4.1,1.5k
Wheelseye Technology,3.4,1.4k
Taurus BPO Services,4.1,1.4k
Tata AutoComp Systems,3.8,1.4k
Tata AutoComp Systems,3.8,1.4k
Tata Group,4.2,1.4k
Sonata Software,3.4,1.4k
ISS Facility Services,4.0,1.4k
Devyani International,3.8,1.4k
Oberoi Group of Hotels,4.1,1.4k
Airtel Payments Bank,3.8,1.4k
Daimler India Commercial Vehicles,3.9,1.4k
Indoco Remedies,3.5,1.4k
Valeo,4.0,1.4k
Aon,3.8,1.4k
V5 Global Services,3.9,1.4k
NIIT,3.5,1.4k
Acuity Analytics,3.1,1.4k
Narayana Educational Society,3.5,1.4k
Heritage Foods,4.0,1.4k
Hyatt Regency,4.0,1.4k
Apco Infratech,3.8,1.4k
Bharat Forge,3.8,1.4k
Acmegrade,3.9,1.4k
Amneal Pharmaceuticals,4.2,1.4k
Agilus Diagnostics,4.1,1.4k
PNB Housing Finance,3.8,1.4k
Happiest Minds Technologies,3.4,1.4k
Apexon,3.3,1.4k
